registerNum,country1,country2,dateBegan,dateEnded,durationDays,peopleDead,peopleDisplaced,damageUsd,mainCause1,mainCause2,mainCause3,severity,affectedSqKm,magnitude,centroidX,centroidY
2214,Russia,,4/23/2003,5/13/2003,21,0,500,,Snow/Ice Melt,,,large,876375.49,7.264909518,79.3162,57.8205
2213,Kenya,Uganda,4/21/2003,6/4/2003,45,77,1000000,,Heavy Rain,,,large,466914.56,7.322449931,35.1979,-0.139191
2212,Afghanistan,,4/21/2003,4/22/2003,2,0,0,,Heavy Rain,,,large,1500.93,3.477390434,69.2155,36.7242
2211,Afghanistan,,4/18/2003,4/20/2003,3,2,800,,Heavy Rain,,,large,1769.35,3.724935005,69.2724,34.958
2210,Afghanistan,,4/18/2003,4/21/2003,4,5,0,,Heavy Rain,,,extreme,14987.88,5.078830194,65.0691,33.069
2209,Russia,,4/15/2003,5/18/2003,34,0,600,,Snow/Ice Melt,,,large,393161.63,7.126050044,35.7082,52.5531
2208,Russia,,4/16/2003,5/28/2003,43,0,0,,Snow/Ice Melt,,,large,315231.35,7.132097857,64.7393,55.4536
2207,Haiti,,4/16/2003,4/22/2003,7,4,300,17000000,Heavy Rain,,,large,1139.21,3.901701829,-65.8269,18.2528
2206,Azerbaijan,,4/16/2003,6/4/2003,50,0,0,,Heavy Rain,,,large,30866.26,6.188454014,47.1927,40.9417
2205,Oman,,4/14/2003,4/19/2003,6,30,0,,Heavy Rain,,,large,23062.38,5.141055374,58.5899,23.361
2204,Tajikistan,,4/13/2003,4/25/2003,13,1,6000,41000000,Heavy Rain,,,large,5014.82,4.814198702,69.2051,38.043
2203,United States,,4/7/2003,4/10/2003,4,0,100,20000000,Heavy Rain,,,extreme,83502.65,5.824790245,-88.6506,32.3342
2202,Malawi,,4/5/2003,4/8/2003,4,4,0,,Heavy Rain,,,large,2425.73,3.986902451,33.784,-11.0006
2201,Afghanistan,,4/7/2003,4/8/2003,2,4,400,,Heavy Rain,,,large,2791.37,3.746847402,61.7439,35.1172
2200,Georgia,,4/7/2003,4/17/2003,11,2,20000,60000000,Heavy Rain,,,extreme,241748.7,6.725786828,47.1348,40.2225
2199,Russia,,4/1/2003,5/14/2003,44,1,8000,,Snow/Ice Melt,,,extreme,1434589.04,8.101210181,42.8994,49.2409
2198,Canada,,3/31/2003,4/3/2003,4,2,170,10000000,Heavy Rain,Snow/Ice Melt,,large,13530.48,4.733373195,-63.9857,45.105
2197,Indonesia,,3/31/2003,4/1/2003,2,39,0,,Heavy Rain,,,large,343.973,2.83755435,121.709,-8.78414
2196,Iran,,3/27/2003,3/27/2003,1,0,800,,Heavy Rain,,,large,914.247,2.961063544,57.5828,37.1113
2195,Iran,,3/26/2003,3/27/2003,2,0,0,,Heavy Rain,,,large,3089.53,3.790922412,51.6194,31.5119
2194,Mozambique,,3/26/2003,3/28/2003,3,2,15000,,Heavy Rain,,,large,701.566,3.323189788,34.9058,-19.7644
2193,Belarus,Ukraine,3/22/2003,5/5/2003,45,0,0,,Snow/Ice Melt,,,large,285012.04,7.10807572,25.203,52.5773
2192,New Zealand,,3/27/2003,3/29/2003,3,1,50,,Heavy Rain,,,large,1367.86,3.613162904,173.329,-34.945
2191,Russia,,3/25/2003,4/11/2003,18,0,0,,Snow/Ice Melt,,,large,30394.38,5.738065794,133.058,44.3837
2190,Indonesia,,3/20/2003,3/25/2003,6,12,0,,Heavy Rain,,,large,1097.11,3.818401424,119.784,-3.09396
2189,Philippines,,3/20/2003,3/21/2003,2,8,0,,Heavy Rain,,,large,371.086,2.870504566,125.58,6.34483
2188,South Africa,,3/23/2003,3/26/2003,4,1,500,,Heavy Rain,,,large,656.473,3.41927686,20.1148,-33.7569
2187,Ukraine,,3/22/2003,4/4/2003,14,0,130,,Snow/Ice Melt,,,large,220029.06,6.488608079,33.3194,48.241
2186,Colombia,,3/18/2003,3/22/2003,5,24,0,,Heavy Rain,,,large,3279.12,4.214727314,-75.5169,5.21063
2185,Colombia,,3/18/2003,3/19/2003,2,6,0,,Heavy Rain,,,large,965.73,3.285885718,-72.4921,7.90993
2184,Afghanistan,,3/17/2003,3/28/2003,12,14,2000,,Heavy Rain,,,large,12949.64,5.191438941,67.3621,36.7476
2183,United States,,3/19/2003,3/31/2003,13,0,0,,Heavy Rain,,,large,269996.83,6.545302017,-81.7756,35.1516
2182,United States,,3/17/2003,3/21/2003,5,0,0,,Snow/Ice Melt,,,large,30706.8,5.186204565,-104.729,47.7159
2181,Zambia,,3/11/2003,3/15/2003,5,0,6400,,Heavy Rain,,,extreme,22883.26,5.359517895,27.69,-16.0663
2180,Australia,,3/7/2003,3/17/2003,11,0,0,,Heavy Rain,,,large,338861.7,6.57141517,133.126,-14.0855
2179,Spain,,2/27/2003,3/10/2003,12,0,0,,Heavy Rain,,,large,19395.83,5.366889615,-1.03538,41.8344
2178,Mozambique,Zimbabwe,3/5/2003,3/16/2003,12,8,8300,,Heavy Rain,,,large,137205.77,6.216553621,32.6645,-21.3783
2177,United States,,2/26/2003,3/7/2003,10,0,0,,Heavy Rain,,,large,32682.01,5.514308759,-88.0179,37.411
2176,Australia,,3/2/2003,3/11/2003,10,0,0,,Heavy Rain,,,large,68628.4,5.836503874,124.223,-17.9705
2175,Turkey,,2/4/2003,3/12/2003,37,0,0,,Heavy Rain,,,large,37809.06,6.145797604,28.312,38.0893
